file_id,leakage_group,split
datasec:DATASEC/Bells/Bells-0001.wav,datasec:DATASEC/Bells/Bells-0001.wav,validation
datasec:DATASEC/Bells/Bells-0002.wav,datasec:DATASEC/Bells/Bells-0002.wav,train
datasec:DATASEC/Bells/Bells-0003.wav,datasec:DATASEC/Bells/Bells-0003.wav,test
datasec:DATASEC/Bells/Bells-0004.wav,datasec:DATASEC/Bells/Bells-0004.wav,train
datasec:DATASEC/Bells/Bells-0005.wav,datasec:DATASEC/Bells/Bells-0005.wav,train
datasec:DATASEC/Bells/Bells-0006.wav,datasec:DATASEC/Bells/Bells-0006.wav,train
datasec:DATASEC/Bells/Bells-0007.wav,datasec:DATASEC/Bells/Bells-0007.wav,test
datasec:DATASEC/Bells/Bells-0008.wav,datasec:DATASEC/Bells/Bells-0008.wav,test
datasec:DATASEC/Bells/Bells-0009.wav,datasec:DATASEC/Bells/Bells-0009.wav,train
datasec:DATASEC/Bells/Bells-0010.wav,datasec:DATASEC/Bells/Bells-0010.wav,validation
datasec:DATASEC/Bells/Bells-0011.wav,datasec:DATASEC/Bells/Bells-0011.wav,validation
datasec:DATASEC/Bells/Bells-0012.wav,datasec:DATASEC/Bells/Bells-0012.wav,train
datasec:DATASEC/Bells/Bells-0013.wav,datasec:DATASEC/Bells/Bells-0013.wav,test
datasec:DATASEC/Bells/Bells-0014.wav,datasec:DATASEC/Bells/Bells-0013.wav,test
datasec:DATASEC/Bells/Bells-0015.wav,datasec:DATASEC/Bells/Bells-0015.wav,train
datasec:DATASEC/Bells/Bells-0016.wav,datasec:DATASEC/Bells/Bells-0016.wav,train
datasec:DATASEC/Bells/Bells-0017.wav,datasec:DATASEC/Bells/Bells-0017.wav,test
datasec:DATASEC/Bells/Bells-0018.wav,datasec:DATASEC/Bells/Bells-0018.wav,train
datasec:DATASEC/Bells/Bells-0019.wav,datasec:DATASEC/Bells/Bells-0019.wav,train
datasec:DATASEC/Bells/Bells-0020.wav,datasec:DATASEC/Bells/Bells-0020.wav,train
datasec:DATASEC/Bells/Bells-0021.wav,datasec:DATASEC/Bells/Bells-0021.wav,train
datasec:DATASEC/Bells/Bells-0022.wav,datasec:DATASEC/Bells/Bells-0022.wav,test
datasec:DATASEC/Bells/Bells-0023.wav,datasec:DATASEC/Bells/Bells-0023.wav,train
datasec:DATASEC/Bells/Bells-0024.wav,datasec:DATASEC/Bells/Bells-0024.wav,train
datasec:DATASEC/Bells/Bells-0026.wav,datasec:DATASEC/Bells/Bells-0026.wav,test
datasec:DATASEC/Bells/Bells-0027.wav,datasec:DATASEC/Bells/Bells-0027.wav,test
datasec:DATASEC/Bells/Bells-0028.wav,datasec:DATASEC/Bells/Bells-0028.wav,train
datasec:DATASEC/Bells/Bells-0029.wav,datasec:DATASEC/Bells/Bells-0029.wav,train
datasec:DATASEC/Bells/Bells-0030.wav,datasec:DATASEC/Bells/Bells-0030.wav,train
datasec:DATASEC/Bells/Bells-0031.wav,datasec:DATASEC/Bells/Bells-0031.wav,train
datasec:DATASEC/Bells/Bells-0032.wav,datasec:DATASEC/Bells/Bells-0032.wav,train
datasec:DATASEC/Bells/Bells-0033.wav,datasec:DATASEC/Bells/Bells-0033.wav,train
datasec:DATASEC/Bells/Bells-0034.wav,datasec:DATASEC/Bells/Bells-0034.wav,train
datasec:DATASEC/Bells/Bells-0035.wav,datasec:DATASEC/Bells/Bells-0035.wav,train
datasec:DATASEC/Bells/Bells-0036.wav,datasec:DATASEC/Bells/Bells-0035.wav,train
datasec:DATASEC/Bells/Bells-0037.wav,datasec:DATASEC/Bells/Bells-0037.wav,validation
datasec:DATASEC/Bells/Bells-0038.wav,datasec:DATASEC/Bells/Bells-0038.wav,train
datasec:DATASEC/Bells/Bells-0039.wav,datasec:DATASEC/Bells/Bells-0039.wav,train
datasec:DATASEC/Bells/Bells-0040.wav,datasec:DATASEC/Bells/Bells-0040.wav,validation
datasec:DATASEC/Bells/Bells-0041.wav,datasec:DATASEC/Bells/Bells-0041.wav,train
datasec:DATASEC/Bells/Bells-0042.wav,datasec:DATASEC/Bells/Bells-0042.wav,train
datasec:DATASEC/Bells/Bells-0043.wav,datasec:DATASEC/Bells/Bells-0043.wav,train
datasec:DATASEC/Bells/Bells-0044.wav,datasec:DATASEC/Bells/Bells-0044.wav,validation
datasec:DATASEC/Bells/Bells-0045.wav,datasec:DATASEC/Bells/Bells-0045.wav,train
datasec:DATASEC/Bells/Bells-0046.wav,datasec:DATASEC/Bells/Bells-0046.wav,train
datasec:DATASEC/Bells/Bells-0047.wav,datasec:DATASEC/Bells/Bells-0047.wav,train
datasec:DATASEC/Bells/Bells-0048.wav,datasec:DATASEC/Bells/Bells-0048.wav,train
datasec:DATASEC/Bells/Bells-0049.wav,datasec:DATASEC/Bells/Bells-0049.wav,test
datasec:DATASEC/Bells/Bells-0050.wav,datasec:DATASEC/Bells/Bells-0050.wav,train
datasec:DATASEC/Bells/Bells-0051.wav,datasec:DATASEC/Bells/Bells-0051.wav,train
datasec:DATASEC/Bells/Bells-0052.wav,datasec:DATASEC/Bells/Bells-0052.wav,train
datasec:DATASEC/Bells/Bells-0053.wav,datasec:DATASEC/Bells/Bells-0053.wav,train
datasec:DATASEC/Bells/Bells-0054.wav,datasec:DATASEC/Bells/Bells-0054.wav,train
datasec:DATASEC/Bells/Bells-0055.wav,datasec:DATASEC/Bells/Bells-0055.wav,validation
datasec:DATASEC/Bells/Bells-0056.wav,datasec:DATASEC/Bells/Bells-0056.wav,validation
datasec:DATASEC/Bells/Bells-0057.wav,datasec:DATASEC/Bells/Bells-0057.wav,validation
datasec:DATASEC/Bells/Bells-0058.wav,datasec:DATASEC/Bells/Bells-0057.wav,validation
datasec:DATASEC/Bells/Bells-0059.wav,datasec:DATASEC/Bells/Bells-0059.wav,train
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0060.wav,train
datasec:DATASEC/Bells/Bells-0061.wav,datasec:DATASEC/Bells/Bells-0060.wav,train
datasec:DATASEC/Bells/Bells-0062.wav,datasec:DATASEC/Bells/Bells-0060.wav,train
datasec:DATASEC/Bells/Bells-0063.wav,datasec:DATASEC/Bells/Bells-0060.wav,train
datasec:DATASEC/Bells/Bells-0064.wav,datasec:DATASEC/Bells/Bells-0064.wav,train
datasec:DATASEC/Bells/Bells-0065.wav,datasec:DATASEC/Bells/Bells-0065.wav,train
datasec:DATASEC/Bells/Bells-0066.wav,datasec:DATASEC/Bells/Bells-0066.wav,train
datasec:DATASEC/Bells/Bells-0067.wav,datasec:DATASEC/Bells/Bells-0067.wav,train
datasec:DATASEC/Birds/Birds-0001.wav,datasec:DATASEC/Birds/Birds-0001.wav,test
datasec:DATASEC/Birds/Birds-0002.wav,datasec:DATASEC/Birds/Birds-0002.wav,train
datasec:DATASEC/Birds/Birds-0003.wav,datasec:DATASEC/Birds/Birds-0003.wav,validation
datasec:DATASEC/Birds/Birds-0004.wav,datasec:DATASEC/Birds/Birds-0004.wav,train
datasec:DATASEC/Birds/Birds-0005.wav,datasec:DATASEC/Birds/Birds-0005.wav,train
datasec:DATASEC/Birds/Birds-0006.wav,datasec:DATASEC/Birds/Birds-0006.wav,train
