dataset,file_id,relative_path,bytes,sha256,sample_rate,channels,frames,duration_s,format,subtype
datasec,datasec:DATASEC/Bells/Bells-0001.wav,DATASEC/Bells/Bells-0001.wav,2102540,7c5dd277028dffff2cbe76a6b6093e10c5f88bab038fe51acc82194d765c7a5c,44100,1,1051248,23.8378231292517,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0002.wav,DATASEC/Bells/Bells-0002.wav,4436492,782ca31eff4493e3b8a041d6756e2fb7624c8657f2ab3eee1c581c1fbc81aff2,44100,1,2218224,50.29986394557823,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0003.wav,DATASEC/Bells/Bells-0003.wav,4627724,c41655e15d3da78398f013fcc7c5ffa1d280a5574f102274513c98baab933d9d,44100,1,2313840,52.46802721088435,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0004.wav,DATASEC/Bells/Bells-0004.wav,2233868,3c25d0e70038da26c0740ec7263e320418ea312251f219d9d5e78460accb23d3,44100,1,1116912,25.326802721088434,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0005.wav,DATASEC/Bells/Bells-0005.wav,2731532,d01245f862927c235d6c8bd71e24a597063f65cea4e77e339e9f25ba46a033d0,44100,1,1365744,30.96925170068027,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0006.wav,DATASEC/Bells/Bells-0006.wav,2565644,7248313b059cb9ac35ba210483fba7eb469129d46983adac966e9a13a7c57750,44100,1,1282800,29.08843537414966,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0007.wav,DATASEC/Bells/Bells-0007.wav,4687628,082b299bd3f6a85d8ce288af4293a3300498c9cb21d989d631f375523501f534,44100,1,2343792,53.14721088435374,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0008.wav,DATASEC/Bells/Bells-0008.wav,3786764,9cafe35a1da15b0778426a00df7d750c763c6fb8681560148ec443e0f2e50533,44100,1,1893360,42.93333333333333,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0009.wav,DATASEC/Bells/Bells-0009.wav,3482636,12e61251896213c574ba43a4602f59ccc5983dac338314fb1d35f0f125e86630,44100,1,1741296,39.48517006802721,WAV,PCM_16
datasec,datasec:DATASEC/Bells/Bells-0010.wav,DATASEC/Bells/Bells-0010.wav,1390604,159c0bcf82fbd0306d09dcebc832c7270bb41f838cb6bd3a998cc0f55e8456d9,44100,1,695280,15.765986394557823,WAV,PCM_16
